episode,scenario,total_reward,avg_wait_s,peak_queue,epsilon,max_emerg_wait_s,delta_vs_baseline_pct,episode_time_s
77,evening_rush.rou,2043.4,10.44,40,0.1423,0.0,-87.2,60.1
78,off_peak.rou,3761.2,4.95,17,0.1388,0.0,-94.0,27.3
79,weekend_market.rou,6150.2,6.07,17,0.1353,0.0,-92.6,33.9
80,heavy_emergency.rou,-43267.8,38.68,129,0.1319,0.0,-52.7,102.6
81,morning_rush.rou,-43333.5,36.14,104,0.1286,0.0,-55.8,81.8
82,evening_rush.rou,5034.5,8.64,32,0.1254,0.0,-89.4,48.5
83,off_peak.rou,4666.1,3.98,15,0.1223,0.0,-95.1,26.0
84,weekend_market.rou,6586.7,5.6,17,0.1192,0.0,-93.2,35.4
85,heavy_emergency.rou,-32932.9,31.16,99,0.1162,0.0,-61.9,80.9
86,morning_rush.rou,-40417.4,36.24,114,0.1133,0.0,-55.7,79.4
87,evening_rush.rou,2860.9,10.4,49,0.1105,0.0,-87.3,50.3
88,off_peak.rou,4598.1,3.82,14,0.1077,0.0,-95.3,28.6
89,weekend_market.rou,6885.0,4.61,14,0.1051,0.0,-94.4,39.3
90,heavy_emergency.rou,-53721.5,43.62,113,0.1024,0.0,-46.7,84.4
91,morning_rush.rou,-45584.2,36.12,117,0.0999,0.0,-55.9,79.3
92,evening_rush.rou,-8404.9,16.52,62,0.0974,0.0,-79.8,54.6
93,off_peak.rou,4893.1,3.07,13,0.0949,0.0,-96.2,25.5
94,weekend_market.rou,6463.3,5.11,20,0.0926,0.0,-93.8,34.5
95,heavy_emergency.rou,-55017.1,46.81,121,0.0902,0.0,-42.8,108.9
96,morning_rush.rou,-4693718.0,6183.91,546,0.088,0.0,7457.0,114.3
97,evening_rush.rou,3273.5,9.79,38,0.0858,0.0,-88.0,48.2
98,off_peak.rou,5323.0,3.33,14,0.0836,0.0,-95.9,25.4
99,weekend_market.rou,7798.3,3.88,14,0.0816,0.0,-95.3,33.1
100,heavy_emergency.rou,-55903689.6,89385.28,545,0.0795,0.0,109132.9,207.4
101,morning_rush.rou,-44420.5,37.43,125,0.0775,0.0,-54.3,76.8
102,evening_rush.rou,5241.3,8.4,33,0.0756,0.0,-89.7,48.0
103,off_peak.rou,5393.9,3.3,17,0.0737,0.0,-96.0,25.6
104,weekend_market.rou,7404.1,4.34,16,0.0719,0.0,-94.7,33.4
105,heavy_emergency.rou,-34430.6,33.11,107,0.0701,0.0,-59.5,76.8
106,morning_rush.rou,-23804.8,26.74,91,0.0683,0.0,-67.3,76.1
107,evening_rush.rou,7608.1,6.79,28,0.0666,0.0,-91.7,46.4
108,off_peak.rou,5117.7,3.26,13,0.0649,0.0,-96.0,25.8
109,weekend_market.rou,7442.1,4.34,13,0.0633,0.0,-94.7,33.2
110,heavy_emergency.rou,-33664.0,32.5,117,0.0617,0.0,-60.3,80.4
111,morning_rush.rou,-38829.4,39.07,134,0.0602,0.0,-52.3,80.6
112,evening_rush.rou,1229.3,11.56,37,0.0587,0.0,-85.9,50.5
113,off_peak.rou,5757.5,2.84,13,0.0572,0.0,-96.5,25.0
114,weekend_market.rou,7239.0,4.07,20,0.0558,0.0,-95.0,33.4
115,heavy_emergency.rou,-21285.8,24.58,96,0.0544,0.0,-70.0,73.3
116,morning_rush.rou,-11216979.8,14098.92,495,0.053,0.0,17129.5,127.9
117,evening_rush.rou,-1834.7,12.05,56,0.0517,0.0,-85.3,51.5
118,off_peak.rou,5399.5,3.86,15,0.0504,0.0,-95.3,25.9
119,weekend_market.rou,7282.7,4.5,19,0.0492,0.0,-94.5,33.6
120,heavy_emergency.rou,-32171.0,33.41,104,0.0479,0.0,-59.2,84.6
121,morning_rush.rou,-61728.6,51.83,136,0.0467,0.0,-36.7,81.5
122,evening_rush.rou,6352.9,7.75,44,0.0456,0.0,-90.5,48.3
123,off_peak.rou,5237.1,3.74,13,0.0444,0.0,-95.4,25.9
124,weekend_market.rou,7618.0,4.24,13,0.0433,0.0,-94.8,33.3
125,heavy_emergency.rou,-9877031.4,14552.48,546,0.0422,0.0,17683.8,133.3
126,morning_rush.rou,-32649.6,32.49,108,0.0412,0.0,-60.3,90.2
127,evening_rush.rou,678.2,10.84,37,0.0401,0.0,-86.7,50.9
128,off_peak.rou,6112.4,2.95,13,0.0391,0.0,-96.4,25.4
129,weekend_market.rou,7331.3,4.64,17,0.0382,0.0,-94.3,33.4
130,heavy_emergency.rou,-39844539.3,59899.68,546,0.0372,0.0,73100.2,191.5
131,morning_rush.rou,-51052.9,42.92,133,0.0363,0.0,-47.5,97.7
132,evening_rush.rou,-1797.0,12.84,50,0.0354,0.0,-84.3,53.5
133,off_peak.rou,5145.5,3.49,12,0.0345,0.0,-95.7,26.2
134,weekend_market.rou,8298.5,3.97,16,0.0336,0.0,-95.2,34.6
135,heavy_emergency.rou,-32924.1,33.04,124,0.0328,0.0,-59.6,83.0
136,morning_rush.rou,-31496.9,32.98,118,0.032,0.0,-59.7,82.2
137,evening_rush.rou,-2608.6,13.23,67,0.0312,0.0,-83.8,94.9
138,off_peak.rou,5856.4,3.21,14,0.0304,0.0,-96.1,25.9
139,weekend_market.rou,6996.5,4.98,18,0.0296,0.0,-93.9,35.3
140,heavy_emergency.rou,-37241.1,32.78,106,0.0289,0.0,-59.9,86.8
141,morning_rush.rou,-41127598.8,55349.06,531,0.0282,0.0,67539.1,198.5
142,evening_rush.rou,-7994.4,17.39,89,0.0275,0.0,-78.7,55.8
143,off_peak.rou,4717.0,4.56,15,0.0268,0.0,-94.4,26.1
144,weekend_market.rou,4643.6,6.36,18,0.0261,0.0,-92.2,34.8
145,heavy_emergency.rou,-27440.5,29.67,97,0.0254,0.0,-63.7,81.1
146,morning_rush.rou,-40073.6,37.84,118,0.0248,0.0,-53.8,83.0
147,evening_rush.rou,-2937.7,13.12,54,0.0242,0.0,-84.0,55.9
148,off_peak.rou,4794.7,4.01,16,0.0236,0.0,-95.1,26.1
149,weekend_market.rou,-58501689.7,80276.05,517,0.023,0.0,98001.0,196.2
150,heavy_emergency.rou,-1081866.3,1145.25,482,0.0224,0.0,1299.5,100.6
151,morning_rush.rou,-30397.5,32.64,122,0.0219,0.0,-60.1,100.3
152,evening_rush.rou,-1369.2,11.48,45,0.0213,0.0,-86.0,54.8
153,off_peak.rou,5235.6,4.44,15,0.0208,0.0,-94.6,25.4
154,weekend_market.rou,7632.6,5.4,12,0.0203,0.0,-93.4,33.6
155,heavy_emergency.rou,-20353.9,24.54,94,0.0198,0.0,-70.0,71.3
156,morning_rush.rou,-10523.6,18.76,63,0.0193,0.0,-77.1,93.1
157,evening_rush.rou,3186.0,9.14,43,0.0188,0.0,-88.8,62.4
158,off_peak.rou,5303.5,4.31,15,0.0183,0.0,-94.7,33.7
159,weekend_market.rou,8705.8,3.9,13,0.0179,0.0,-95.2,43.1
160,heavy_emergency.rou,-10556.6,17.59,68,0.0174,0.0,-78.5,79.6
161,morning_rush.rou,-17057.9,22.93,75,0.017,0.0,-72.0,101.9
162,evening_rush.rou,-1568.7,12.44,54,0.0165,0.0,-84.8,75.0
163,off_peak.rou,6278.0,3.36,11,0.0161,0.0,-95.9,31.7
164,weekend_market.rou,7716.4,4.79,18,0.0157,0.0,-94.1,40.3
165,heavy_emergency.rou,-43224561.1,60775.23,546,0.0153,0.0,74170.1,260.0
166,morning_rush.rou,-18843.4,23.99,103,0.015,0.0,-70.7,110.0
167,evening_rush.rou,1586.9,10.56,42,0.0146,0.0,-87.1,70.9
168,off_peak.rou,5797.4,3.46,12,0.0142,0.0,-95.8,34.1
169,weekend_market.rou,8660.0,3.76,14,0.0139,0.0,-95.4,44.4
170,heavy_emergency.rou,-19137.7,24.04,88,0.0135,0.0,-70.6,125.1
171,morning_rush.rou,-22089.8,27.97,93,0.0132,0.0,-65.8,104.8
172,evening_rush.rou,-3291.1,13.04,48,0.0128,0.0,-84.1,77.6
173,off_peak.rou,6034.7,3.0,12,0.0125,0.0,-96.3,34.5
174,weekend_market.rou,-9980586.7,13892.8,542,0.0122,0.0,16877.6,141.5
175,heavy_emergency.rou,-22383.1,25.47,94,0.0119,0.0,-68.9,101.3
176,morning_rush.rou,-25994.2,29.52,113,0.0116,0.0,-63.9,78.8
177,evening_rush.rou,-9609.5,16.01,62,0.0113,0.0,-80.4,87.2
178,off_peak.rou,6584.5,3.1,11,0.011,0.0,-96.2,36.8
179,weekend_market.rou,8644.7,3.8,11,0.0108,0.0,-95.4,53.6
180,heavy_emergency.rou,-13084.0,22.17,79,0.0105,0.0,-72.9,91.5
181,morning_rush.rou,-17024.5,25.12,98,0.0102,0.0,-69.3,80.2
182,evening_rush.rou,-5035.1,13.89,73,0.01,0.0,-83.0,57.6
183,off_peak.rou,6611.8,3.22,12,0.01,0.0,-96.1,27.8
184,weekend_market.rou,8365.4,4.21,15,0.01,0.0,-94.9,35.4
185,heavy_emergency.rou,-14204.1,22.82,67,0.01,0.0,-72.1,79.9
186,morning_rush.rou,-32768.7,30.32,129,0.01,0.0,-62.9,83.9
187,evening_rush.rou,-7502.8,14.95,60,0.01,0.0,-81.7,54.8
188,off_peak.rou,6520.8,3.61,12,0.01,0.0,-95.6,25.5
189,weekend_market.rou,7854.2,4.59,15,0.01,0.0,-94.4,33.3
190,heavy_emergency.rou,-10991.9,19.94,58,0.01,0.0,-75.6,61.5
191,morning_rush.rou,-12225.3,20.36,58,0.01,0.0,-75.1,61.9
192,evening_rush.rou,1791.9,10.45,47,0.01,0.0,-87.2,54.1
193,off_peak.rou,5926.1,4.04,15,0.01,0.0,-95.1,25.6
194,weekend_market.rou,8043.4,3.8,18,0.01,0.0,-95.4,33.3
195,heavy_emergency.rou,-23980.6,29.4,108,0.01,0.0,-64.1,73.1
196,morning_rush.rou,-26131.5,28.2,107,0.01,0.0,-65.5,87.6
197,evening_rush.rou,-14492.2,20.81,108,0.01,0.0,-74.6,56.1
198,off_peak.rou,6522.7,3.57,11,0.01,0.0,-95.6,25.5
199,weekend_market.rou,7444.0,5.43,16,0.01,0.0,-93.4,33.9
200,heavy_emergency.rou,-20189.4,24.43,99,0.01,0.0,-70.1,77.0
201,morning_rush.rou,-19432.1,25.5,100,0.01,0.0,-68.8,70.3
202,evening_rush.rou,-30309217.7,39549.55,471,0.01,0.0,48231.4,146.4
